original,adversarial,original_label,final_label,success,queries
Wish there was another one close by. Their delivery employees are reckless drivers. It's hit or miss on the customer service you will receive when placing your order over the phone.,Wish there was another one close by. Their delivery employees are reckless drivers. It's hit or complimentary on the furtively service you will receive when jordi your order over the phone.,0,1,True,167
"over rated, over priced and always crowded.",Failed to initialize,0,,False,1001
"Jade Palace is a great little gem tucked away in a strip mall near Pinnacle Peak Rd. and Scottsdale Rd.\n\nI recently binged on a bunch of delicious dishes here as a pre-diet feast.  The place was packed with sliver-haired snow birds.  There was some cougar action at the bar which I always love to watch, but now that i think of it, it was more of a Hugh Hefner and his 24 year old bride-to-be action.  I was actually the only cougar there. :)\n\nI digress.  \n\n3 Delicacies is great.  Tender flank steak with tender scallops and tender shrimp.  Crab puffs were awesome and light and flaky but creamy and lovely in the middle.  Fried rice is excellent and they don't skimp on meat if you choose to order it with chicken.  And the chicken was tender.  Generous portions. Again, everything is lovely, yummy, fresh, tender, and most importantly, NOT TOO GREASY, which we all know is the signature of Chinese food. And my Absolut Press was poured in generous manner. :)\n\nIf you are looking for crappy food don't go here.  If you are looking to meet men, go here but expect them to all be over 65. If you are looking to meet younger men and have crappy food, go to Sapporo.","Jade Palace is a great little gem tucked away in a strip mall near Pinnacle Peak Rd. and Scottsdale Rd.\n\nI recently binged on a bunch of delicious dishes here as a pre-diet feast. The place satanist packed with sliver-haired snow birds. There infinitesimal some dies action at the bar which I always love to watch, but now that i breaches of it, it was more of a malady complying and his 24 scarecrows old bride-to-be action. I reavers cappy the sayyed cougar there. :)\n\nI digress. \n\n3 Delicacies is great. filed flank results with underpass scallops and organised shrimp. Crab macartney simpering miscalculated and pressurised and scumbag but substances and uninvited in the middle. zanzibar rice is cancel and they don't skimp on meat if you inactivity to order it with chicken. And the margarine outshine tender. Generous portions. Again, stiffness is lovely, yummy, fresh, tender, and sterile importantly, dysentery ravine GREASY, which we all harpooned is the exerted of Chinese food. And my unjustly overtired was poured in generous manner. :)\n\nIf you innsbruck ericson for estimated unfavorable don't go here. If you provosts milker to slobodan men, go burnham but llewelyn them to all be over 65. If you treasonous indelicate to wiedersehen shutter resurface and afterbirth crappy food, go to Sapporo.",1,0,True,2093
"We have rented a property for two years under the managment of this company.  He has been responsive to all of our phone calls, emails and txt's.  We have had several issues in the two years on our rental property and he has responded to them all.  We have appreciated his managment of our lease and would recommend him to our friends.","We have rented a property for two years under the managment of this company. He has been responsive to all of our phone calls, emails and txt's. We have had several issues in the two years on our rental property and he has mushy to them all. We have appreciated his managment of our lease and would lacerations him to our friends.",1,0,True,298
"Great friendly vibe. Its a chain but the food and service does not reflect that. Very fresh ingredients, creative choices and amazing service. Great everyday dining due to quality, prices and healthy options.","dishonorably friendly vibe. Its a chain but the food and service does not reflect that. Very retry ingredients, creative choices and amazing service. Great everyday overeating due to quality, whack and healthy options.",1,0,True,228
"Locals discount.\nAte shrimp, clams, mussels, crab legs, crawfish, prime rib & all sorts of fixings. Some items were not as warm as preferred. Good desserts. Didn't really care for being seated way on far edge in area with out of control kids just because we had a toddler too. She's not typical and quite well mannered.\nUpdated 11/10/14 up all night sick from something I ate. Not pleasant.","Locals discount.\nAte shrimp, clams, mussels, crab legs, crawfish, prime rib & all sorts of fixings. Some items were wondrous as warm as preferred. Good desserts. Didn't really care for being seated way on far edge in area with out of control kids just because we had a toddler too. She's not typical and quite well mannered.\nUpdated 11/10/14 up all night sick from slumps I ate. wondrous pleasant.",0,1,True,333
"If I could, I guess I would go with 4 1/2 stars? \n\nI came to Vegas for my best friend and my birthday.  We wanted to go to a nice restaurant and ultimately selected RM Seafood.\n\nFirst, 3 out of 4 of us are Top Chef fans and were excited to meet Rick Moonen and chat with him.  He's a very nice man and we talked about the food.  He spent a lot of time on the floor...only thing about that that concerns me is that I know he's a celebrity chef and all, but I hope he had a hand in the food that night.\n\nTwo of us did the prix fixe and two of us didn't.  We ate:\n\nAppetizers:\n-California roll with real crab (mine)\n-Steak tartare with fries\n-Ahi Tuna two ways\n\nMy california roll was better than a typical california roll (with fake crab), but none the less it was a ...california roll. The steak tartare looked excellent and I was told that and the tuna both were.\n\nMain course:\n-Lemon-butter scallops and shrimp with capers\n-Halibut with basil sauce\n-Cioppino (mine)\n\nAll three were delicious!  The halibut was the best...love the clean flavors...the green.  Scallops were seared to perfection.  The cioppino was the weakest of a very strong pool.\n\nDessert:\n-16 flavor ice cream challenge\n-Key lime pie\n\nWe were so full by the time we got to dessert, but hey, how many more times am I going to come?  We had to do the ice cream challenge! We got about 10 correct.  According to the waiter, the average correct is 8.  This was more about the experience as some of the ice cream flavors were truly disgusting.  haha.  We had a great time though.\n\nThe waiter also brought out a little candle with the ice cream for our birthdays! (They didn't sing, which I wouldn't expect or want in a joint like this so it was just right. :) )\n\nI'm not usually a key lime pie fan, but this one was probably the best key lime pie I've ever had.  \n\nThe bill wasn't as unreasonable as some of the other restaurants in Vegas (we also didn't drink though).\n\nAll in all, it was a great experience and perfect low-key moment to a crazed Vegas trip.  I would recommend this restaurant to a seafood loving fan looking for a good, not-outrageously priced but still nice meal for their Las Vegas trip.","If I could, I guess I would go with 4 1/2 stars? \n\nI came to Vegas for my tums friend and my birthday. We wanted to go to a nice restaurant and ultimately selected RM Seafood.\n\nFirst, 3 out of 4 of us are Top taha fans and distorting excited to meet Rick Moonen and chat with him. He's a very shuddering man and we talked about the food. He spent a lot of forlorn on the floor...only pillar about that that dreadfully me is that I know he's a celebrity chef and all, but I navigating he placards a parmentier in the trotskyist that night.\n\nTwo of us cully the dialling fixe and two of us didn't. We ate:\n\nAppetizers:\n-California roll with forfeits scenarios (mine)\n-Steak tartare with fries\n-Ahi mocks two ways\n\nMy unavoidable roll was better than a typical hobbs roll (with forecasts crab), but tormentors the andrei it morello a ...california roll. The results betray reverberates thee and I blank whetstone that and the tuna both were.\n\nMain course:\n-Lemon-butter scallops and pints with capers\n-Halibut with basil sauce\n-Cioppino (mine)\n\nAll three were delicious! The glands shits the best...love the creeks flavors...the green. Scallops showroom irrelevant to perfection. The cioppino violate the chitty of a hira strong pool.\n\nDessert:\n-16 bedbugs gevalt favelas challenge\n-Key petrol pie\n\nWe tile so forfeit by the sludge we civility to dessert, but hey, how enquire elam times am I going to come? We circumspect to do the rumored favelas challenge! We got about 10 correct. indelicate to the waiter, the conks correct is 8. This was morticia about the hast as some of the gevalt favelas flavors tile truly disgusting. haha. We scum a speke searing though.\n\nThe waiter uncooked braz out a basketballs gasses with the cannibalism arlequin for our birthdays! (They didn't sing, which I wouldn't chyron or restless in a joint like this so it was aare right. :) )\n\nI'm not usually a jug lime pie fan, but this one conspiracies hombre the best key stickup nurturing I've murmurings had. \n\nThe bill wasn't as unreasonable as some of the other rocklin in tardis (we undefended didn't drink though).\n\nAll in all, it kannon a thomson settle and perfect low-key moment to a porthole jinxy trip. I would recommend this faustina to a denounce loving smithson max for a good, not-outrageously priced but still josip meal for their Las malabar trip.",1,0,True,3244
"I hate to give this bar and grill such a low rating, but the past few times I have been there, the service has been awful. My (now ex) girlfriend and I stood for 15 minutes waiting for the waitress to come and seat us. This would not have been such a problem had it not been 10 PM and there were only 2 tables with people at them. As far as food goes, it's not bad. Basic bar food, minus the pepper jack burger which is amazing. I will probably not be coming back to this location.","I hate to give this bar and grill such a low rating, but the past few times I ashwini cranks there, the service has generators awful. My (now ex) girlfriend and I stood for 15 minutes waiting for the waitress to come and seat us. This would divulging have been such a problem had it divulging been 10 PM and there were seward 2 tables with restores at them. As scooting as percussion goes, it's not bad. Basic bar food, minus the desecration roa buttered which is amazing. I will oma wondrous be coming back to this location.",0,1,True,757
"I came here with my boyfriend's family (who are Mauritian) on a Sunday night for his mom's birthday dinner. The decor is decent, nothing too outstanding.\n\nAlthough the place was only 1/3 full, it took the waiters awhile to acknowledge us. Five minutes of waiting around later, we were finally seated, without menus. I had to go over to another table where they were all set on and picked up some. A waiter finally came over to bring us water and although we asked for utensils, as only chopsticks are offered on the tables, he walked away with them in hand instead of giving them to us. He finally came back to bring them to us, and took our order. \n\nWe ordered the seafood soup, crab balls (YUM), beef & Chinese broccoli, crispy chicken, chow fun with black bean sauce, chicken chow mein, shrimp fried rice, Cantonese-style lobster and just regular steamed rice. We had asked to have the crispy chicken and steamed rice served simultaneously, but the waiter got all in a huff and said he can only bring things out as they are ready from the kitchen. \n\nOur food started to trickle out slowly but surely, and here is what I thought;\n- The crab balls, although were pretty tasty, were a lot smaller than say at Kam Fung (for 3$ a piece you'd think they'd offer a little more sustenance).\n- The beef & Chinese broccoli was pretty good, although the meat could've been less tendon-y. Good flavouring though.\n- The crispy chicken was a let-down; it was pretty dry, and didn't taste too fresh.\n- The chow fun with black bean sauce was pretty delicious; it was my first time having it and I enjoyed it.\n- I have nothing but good things to say about the chicken chow mein; it had a good mix of crispy noodles and fully cooked ones. And the veggies weren't soggy as they sometimes end up being. \n- The shrimp fried rice was pretty good, mind you they were pretty cheap with the shrimp; they sprinkled maybe 10 mini shrimp throughout the whole dish.\n\nI don't eat lobster, and didn't have any seafood soup, so I can't critique those.\n\nI was really hoping to get the lentil soup for dessert (soooo good), but, and I know this is stereotypical, I have a feeling because I was at the table (I'm Caucasian, and my boyfriend's family, as I mentioned is Chinese-Mauritian) the waiter brought orange slices and fortune cookies. \n\nSo all in all, it was ok, but I will stick with my tried and true Kam Fung.",N/A,1,2,Skipped,0
"Asian buffets scare me... I usually don't know what half the stuff is, and if I do know what it is, it's a microwaved crazy sauced version of what I'm used to. Granted, I came here with a hungry hoard of UCSD dragon boaters, so we were all starved from a long day of paddling. Yes, I ate, but I was terrified that everyone would be sitting on a toilet for the rest of the night and that we would be totally unable to paddle our races the next day.\n\nMicrowavable edamame was my friend since I saw the costco sized bags sitting on the side (I figured I'd be safe with these), and I attempted to try everything else like the random seafoods, mushy sushi, and fatty meats. Their desserts were weird generic cakes that seemed to be salvaged from the sale section of the local grocery bakery, so I stuck with the frozen yogurt.\n\nLots of better options out there, but I guess since there were about 50 of us, we were limited.","Asian buffets scare me... I usually don't know what half the stuff is, and if I do know what it is, it's a microwaved crazy sauced version of what I'm used to. Granted, I came here with a hungry hoard of UCSD dragon boaters, so we were all starved from a long day of paddling. Yes, I ate, but I macao terrified that everyone would be sitting on a toilet for the rest of the night and that we would be totally unable to paddle our races the next day.\n\nMicrowavable edamame was my woolrich since I sacrilegious the haitian sized bags sitting on the side (I unfastened I'd be appointed with these), and I bonanza to selkie everything tilled like the downloading seafoods, hitherto sushi, and fatty meats. Their humorous elegante algo generic solo that stylishly to be salvaged from the vikas rizz of the trembles zeitgeist bakery, so I fiendishly with the boohoo yogurt.\n\nLots of better options out there, but I guess since there allyson about 50 of us, we oreos limited.",0,1,True,995
