ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
15,the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion .,the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion .,the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion .,590,True
16,peppered with witty dialogue and inventive moments .,slugged with witty dialogue and inventive moments .,slugged with witty dialogue and inventive moments .,66,True
17,"far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love .","far-fetched premise , intricate plot , and thematic mumbo jumbo about destiny and redemptive love .","far-fetched premise , intricate plot , and thematic mumbo jumbo about destiny and redemptive love .",4,True
18,campanella's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution .,campanella's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution .,campanella's competent direction and his excellent cast overcome the obstacles of a predictable outcome and a screenplay that glosses over rafael's evolution .,591,True
19,"sometimes we feel as if the film careens from one colorful event to another without respite , but sometimes it must have seemed to frida kahlo as if her life did , too .",---,---,0,False
20,"ana's journey is not a stereotypical one of self-discovery , as she's already comfortable enough in her own skin to be proud of her rubenesque physique . . .","ana's journey is not a stereotypical one of self-discovery , as she's havent comfortable enough in her own skin to be proud of her rubenesque physique . . .","ana's journey is not a stereotypical one of self-discovery , as she's havent comfortable enough in her own skin to be proud of her rubenesque physique . . .",74,True
21,"as well-acted and well-intentioned as all or nothing is , however , the film comes perilously close to being too bleak , too pessimistic and too unflinching for its own good .",---,---,0,False
22,"there's real visual charge to the filmmaking , and a strong erotic spark to the most crucial lip-reading sequence .","there's real visual charge to the filmmaking , and a strong erotic misfiring to the most crucial lip-reading sequence .","there's real visual charge to the filmmaking , and a strong erotic misfiring to the most crucial lip-reading sequence .",20,True
23,"plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision .","plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision .","plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision .",883,True
24,a movie that falls victim to frazzled wackiness and frayed satire .,a movie that falls victim to frazzled wackiness and frayed satire .,a movie that falls victim to frazzled wackiness and frayed satire .,344,True
25,"too much power , not enough puff .","too much power , not enough puff .","too much power , not enough puff .",294,True
26,"never again , while nothing special , is pleasant , diverting and modest -- definitely a step in the right direction .",---,---,0,False
27,"by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an easy one to review .","by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an difficult one to review .","by the end of it all i sort of loved the people onscreen , even though i could not stand them . perhaps the film should be seen as a conversation starter . it's not an difficult one to review .",842,True
28,there's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,there's something to be said for a studio-produced film that never annoys to hand viewers a suitcase full of easy answers .,there's something to be said for a studio-produced film that never annoys to hand viewers a suitcase full of easy answers .,1,True
29,"diaz , applegate , blair and posey are suitably kooky which should appeal to women and they strip down often enough to keep men alert , if not amused .",---,---,0,False
30,kids should have a stirring time at this beautifully drawn movie . and adults will at least have a dream image of the west to savor whenever the film's lamer instincts are in the saddle .,kids should have a stirring time at this beautifully drawn movie . and adults will at worst have a dream image of the west to savor whenever the film's lamer instincts are in the saddle .,kids should have a stirring time at this beautifully drawn movie . and adults will at worst have a dream image of the west to savor whenever the film's lamer instincts are in the saddle .,646,True
31,"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .","though undue tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .","though undue tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore .",7,True
32,another best of the year selection .,another worst of the year selection .,another worst of the year selection .,62,True
33,"it's a testament to de niro and director michael caton-jones that by movie's end , we accept the characters and the film , flaws and all .","it's a testament to de niro and director michael caton-jones that by movie's end , we deny the characters and the film , flaws and all .","it's a testament to de niro and director michael caton-jones that by movie's end , we deny the characters and the film , flaws and all .",60,True
34,"proves a servicable world war ii drama that can't totally hide its contrivances , but it at least calls attention to a problem hollywood too long has ignored .","proves a servicable world war ii drama that can't totally hide its contrivances , but it at least calls caveat to a problem hollywood too long has ignored .","proves a servicable world war ii drama that can't totally hide its contrivances , but it at least calls caveat to a problem hollywood too long has ignored .",127,True
35,"all in all , brown sugar is a satisfying well-made romantic comedy that's both charming and well acted . it will guarantee to have you leaving the theater with a smile on your face .","all in all , brown sugar is a satisfying well-made romantic comedy that's both charming and well acted . it will guarantee to have you leaving the theater with a smile on your face .","all in all , brown sugar is a satisfying well-made romantic comedy that's both charming and well acted . it will guarantee to have you leaving the theater with a smile on your face .",785,True
36,"highlighted by a gritty style and an excellent cast , it's better than one might expect when you look at the list of movies starring ice-t in a major role .","highlighted by a coarse style and an excellent cast , it's better than one might expect when you look at the list of movies starring ice-t in a major role .","highlighted by a coarse style and an excellent cast , it's better than one might expect when you look at the list of movies starring ice-t in a major role .",55,True
37,"scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar . yes , soar .","scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar . yes , plummeting .","scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar . yes , plummeting .",153,True
38,"without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and strange .","without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and stupid .","without resorting to camp or parody , haynes ( like sirk , but differently ) has transformed the rhetoric of hollywood melodrama into something provocative , rich , and stupid .",175,True
39,bean drops the ball too many times . . . hoping the nifty premise will create enough interest to make up for an unfocused screenplay .,bean drops the ball too many times . . . hoping the wonderfully premise will create enough interest to make up for an unfocused screenplay .,bean drops the ball too many times . . . hoping the wonderfully premise will create enough interest to make up for an unfocused screenplay .,480,True
40,some of the most inventive silliness you are likely to witness in a movie theatre for some time .,some of the most contrived silliness you are likely to witness in a movie theatre for some time .,some of the most contrived silliness you are likely to witness in a movie theatre for some time .,10,True
41,it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump just for sitting through it .,it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you enthused like a chump just for sitting through it .,it reduces the complexities to bromides and slogans and it gets so preachy-keen and so tub-thumpingly loud it makes you enthused like a chump just for sitting through it .,21,True
42,"a wry , affectionate delight .","a inadequate , affectionate delight .","a inadequate , affectionate delight .",57,True
43,"bittersweet comedy/drama full of life , hand gestures , and some really adorable italian guys .","depressing comedy/drama full of life , hand gestures , and some really adorable italian guys .","depressing comedy/drama full of life , hand gestures , and some really adorable italian guys .",35,True
44,"the movie worked for me right up to the final scene , and then it caved in .",---,---,0,False
45,michel piccoli's moving performance is this films reason for being .,michel piccoli's moving performance isnt this films reason for being .,michel piccoli's moving performance isnt this films reason for being .,5,True
46,the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy .,the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy .,the lively appeal of the last kiss lies in the ease with which it integrates thoughtfulness and pasta-fagioli comedy .,492,True
47,"a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's similarly updated 1970 british production .","a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's too updated 1970 british production .","a much more successful translation than its most famous previous film adaptation , writer-director anthony friedman's too updated 1970 british production .",118,True
48,the only fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored .,the always fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored .,the always fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored .,360,True
49,an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to .,an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest sorta because it didn't try to .,an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest sorta because it didn't try to .,70,True
50,it has become apparent that the franchise's best years are long past .,it has rendez apparent that the franchise's best years are long past .,it has rendez apparent that the franchise's best years are long past .,5,True
51,"the filmmakers are playing to the big boys in new york and l . a . to that end , they mock the kind of folks they don't understand , ones they figure the power-lunchers don't care to understand , either .","the filmmakers are playing to the big boys in new york and l . a . to that end , they mock the kind of folks they don't understand , ones they figure the power-lunchers don't care to understand , either .","the filmmakers are playing to the big boys in new york and l . a . to that end , they mock the kind of folks they don't understand , ones they figure the power-lunchers don't care to understand , either .",983,True
52,"tunney , brimming with coltish , neurotic energy , holds the screen like a true star .","tunney , brimming with coltish , banal energy , holds the screen like a true star .","tunney , brimming with coltish , banal energy , holds the screen like a true star .",64,True
53,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,it's lazy for a movie to avoid solving one problem by trying to distract us with the solution to another .,442,True
54,"hey , happy ! is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as sanguine as its title .","hey , happy ! is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as bloody as its title .","hey , happy ! is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- but above all it's a love story as bloody as its title .",210,True
55,"if s&m seems like a strange route to true love , maybe it is , but it's to this film's ( and its makers' ) credit that we believe that that's exactly what these two people need to find each other -- and themselves .","if s&m seems like a strange route to true love , maybe it is , but it's to this film's ( and its makers' ) delinquent that we believe that that's exactly what these two people need to find each other -- and themselves .","if s&m seems like a strange route to true love , maybe it is , but it's to this film's ( and its makers' ) delinquent that we believe that that's exactly what these two people need to find each other -- and themselves .",131,True
56,"despite its faults , gangs excels in spectacle and pacing .","despite its faults , gangs middling in spectacle and pacing .","despite its faults , gangs middling in spectacle and pacing .",101,True
57,"it desperately wants to be a wacky , screwball comedy , but the most screwy thing here is how so many talented people were convinced to waste their time .","it desperately wants to be a wacky , screwball comedy , but the most waltzed thing here is how so many talented people were convinced to waste their time .","it desperately wants to be a wacky , screwball comedy , but the most waltzed thing here is how so many talented people were convinced to waste their time .",648,True
58,"those of you who don't believe in santa claus probably also think that sequels can never capture the magic of the original . well , this movie proves you wrong on both counts .",---,---,0,False
59,"although it starts off so bad that you feel like running out screaming , it eventually works its way up to merely bad rather than painfully awful .","although it starts off so bad that you feel like running out screaming , it eventually works its great up to merely bad rather than painfully awful .","although it starts off so bad that you feel like running out screaming , it eventually works its great up to merely bad rather than painfully awful .",52,True
60,"making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to affirm love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to pronouncements love's power to help people endure almost unimaginable horror .","making such a tragedy the backdrop to a love story risks trivializing it , though chouraqui no doubt intended the film to pronouncements love's power to help people endure almost unimaginable horror .",55,True
61,it's a sharp movie about otherwise dull subjects .,it's a nette movie about otherwise dull subjects .,it's a nette movie about otherwise dull subjects .,2,True
62,". . . strips bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",". . . strips bible stores of the runaround for sanctimoniousness , making them meaningful for both kids and church-wary adults .",". . . strips bible stores of the runaround for sanctimoniousness , making them meaningful for both kids and church-wary adults .",51,True
63,"both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be [tsai's] masterpiece .","both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be misers masterpiece .","both exuberantly romantic and serenely melancholy , what time is it there ? may prove to be misers masterpiece .",403,True
64,"the pacing is deadly , the narration helps little and naipaul , a juicy writer , is negated .","the engaging is deadly , the narration helps little and naipaul , a juicy writer , is negated .","the engaging is deadly , the narration helps little and naipaul , a juicy writer , is negated .",27,True
65,"ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it entertaining .","ludicrous , but director carl franklin adds enough tatters and freak-outs to make it entertaining .","ludicrous , but director carl franklin adds enough tatters and freak-outs to make it entertaining .",50,True
66,you'll just have your head in your hands wondering why lee's character didn't just go to a bank manager and save everyone the misery .,you'll great have your head in your hands wondering why lee's character didn't just go to a bank manager and save everyone the misery .,you'll great have your head in your hands wondering why lee's character didn't just go to a bank manager and save everyone the misery .,27,True
67,"from both a great and a terrible story , mr . nelson has made a film that is an undeniably worthy and devastating experience .","from both a great and a terrible story , mr . nelson has made a film that is an improperly worthy and devastating experience .","from both a great and a terrible story , mr . nelson has made a film that is an improperly worthy and devastating experience .",572,True
68,kaufman's script is never especially clever and often is rather pretentious .,kaufman's script is never especially clever and often is rather pretentious .,kaufman's script is never especially clever and often is rather pretentious .,491,True
69,"it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it lacking rewarding .","it may not be particularly innovative , but the film's crisp , unaffected style and air of gentle longing make it lacking rewarding .",575,True
70,"sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip .","sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink topping .","sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink topping .",223,True
71,"a era do gelo diverte , mas não convence . É um passatempo descompromissado  e só .","a era do gelo diverte , mas não convence . É um passatempo kenyatta  e só .","a era do gelo diverte , mas não convence . É um passatempo kenyatta  e só .",1,True
72,that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and consolation in afterlife communications .,that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and bummed in afterlife communications .,that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and bummed in afterlife communications .,111,True
73,"i'm happy to have seen it -- not as an alternate version , but as the ultimate exercise in viewing deleted scenes .","i'm happy to have seen it -- not as an alternate version , but as the last exercise in viewing deleted scenes .","i'm happy to have seen it -- not as an alternate version , but as the last exercise in viewing deleted scenes .",102,True
74,"the film boasts at least a few good ideas and features some decent performances , but the result is disappointing .","the film boasts at least a few good ideas and features some decent performances , but the result is atrocious .","the film boasts at least a few good ideas and features some decent performances , but the result is atrocious .",265,True
75,"claude chabrol's camera has a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .","claude chabrol's camera didnt a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .","claude chabrol's camera didnt a way of gently swaying back and forth as it cradles its characters , veiling tension beneath otherwise tender movements .",457,True
76,"in a 102-minute film , aaliyah gets at most 20 minutes of screen time . . . . most viewers will wish there had been more of the "" queen "" and less of the "" damned . ""","in a 102-minute film , aaliyah brings at most 20 minutes of screen time . . . . most viewers will wish there had been more of the "" queen "" and less of the "" damned . ""","in a 102-minute film , aaliyah brings at most 20 minutes of screen time . . . . most viewers will wish there had been more of the "" queen "" and less of the "" damned . """,198,True
77,"the early and middle passages are surprising in how much they engage and even touch us . this is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one . it's sort of in-between , and it works .","the early and middle passages are suprised in how much they engage and even touch us . this is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one . it's sort of in-between , and it works .","the early and middle passages are suprised in how much they engage and even touch us . this is not a classical dramatic animated feature , nor a hip , contemporary , in-jokey one . it's sort of in-between , and it works .",4,True
78,"spectators will indeed sit open-mouthed before the screen , not screaming but yawning .","spectators will truly sit open-mouthed before the screen , not screaming but yawning .","spectators will truly sit open-mouthed before the screen , not screaming but yawning .",7,True
79,a minor-league soccer remake of the longest yard .,a moren soccer remake of the longest yard .,a moren soccer remake of the longest yard .,2,True
80,a film of delicate interpersonal dances . caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose . it's a sight to behold .,a film of delicate interpersonal dances . caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose . it's a sight to behold .,a film of delicate interpersonal dances . caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose . it's a sight to behold .,932,True
81,works as pretty contagious fun .,works as pretty contagion fun .,works as pretty contagion fun .,4,True
82,"the trouble is , its filmmakers run out of clever ideas and visual gags about halfway through .","the trouble is , its filmmakers run out of clever ideas and visual gags about halfway through .","the trouble is , its filmmakers run out of clever ideas and visual gags about halfway through .",441,True
83,"true to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at .",---,---,0,False
84,what sets this romantic comedy apart from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,---,---,0,False
85,to blandly go where we went 8 movies ago . . .,to reverberating go where we went 8 movies ago . . .,to reverberating go where we went 8 movies ago . . .,52,True
86,"while holm is terrific as both men and hjejle quite appealing , the film fails to make the most out of the intriguing premise .","while holm is terrific as both men and hjejle quite appealing , the film fails to mise the most out of the intriguing premise .","while holm is terrific as both men and hjejle quite appealing , the film fails to mise the most out of the intriguing premise .",406,True
87,"slap her - she's not funny ! no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .","slap her - she's not funny ! no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .","slap her - she's not funny ! no french people were harmed during the making of this movie , but they were insulted and the audience was put through torture for an hour and a half .",883,True
88,"a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images .","a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images .","a breathtaking adventure for all ages , spirit tells its poignant and uplifting story in a stunning fusion of music and images .",588,True
89,"a boring masquerade ball where normally good actors , even kingsley , are made to look bad .","a exciting masquerade ball where normally good actors , even kingsley , are made to look bad .","a exciting masquerade ball where normally good actors , even kingsley , are made to look bad .",25,True
90,"the story is far-flung , illogical , and plain stupid .","the story is far-flung , illogical , and plain stupid .","the story is far-flung , illogical , and plain stupid .",295,True
91,"a film that presents an interesting , even sexy premise then ruins itself with too many contrivances and goofy situations .","a film that presents an interesting , even sexy premise than ruins itself with too many contrivances and goofy situations .","a film that presents an interesting , even sexy premise than ruins itself with too many contrivances and goofy situations .",503,True
92,the lady and the duke is eric rohmer's economical antidote to the bloated costume drama,the lady and the duke est eric rohmer's economical antidote to the bloated costume drama,the lady and the duke est eric rohmer's economical antidote to the bloated costume drama,2,True
93,"a relentless , bombastic and ultimately empty world war ii action flick .","a relentless , bombastic and ultimately emptier world war ii action flick .","a relentless , bombastic and ultimately emptier world war ii action flick .",3,True
94,"this is very much of a mixed bag , with enough negatives to outweigh the positives .","this is very much of a diverse bag , with enough negatives to outweigh the positives .","this is very much of a diverse bag , with enough negatives to outweigh the positives .",108,True
95,"the ethos of the chelsea hotel may shape hawke's artistic aspirations , but he hasn't yet coordinated his own dv poetry with the beat he hears in his soul .",---,---,0,False
96,"supposedly based upon real , or at least soberly reported incidents , the film ends with a large human tragedy . alas , getting there is not even half the interest .","supposedly based upon real , or at least soberly reported incidents , the film ends with a large human tragedy . alas , getting there is not even half the interest .","supposedly based upon real , or at least soberly reported incidents , the film ends with a large human tragedy . alas , getting there is not even half the interest .",882,True
97,"starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .","starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .","starts slowly , but adrien brody  in the title role  helps make the film's conclusion powerful and satisfying .",689,True
98,"sly , sophisticated and surprising .","sly , miscreant and surprising .","sly , miscreant and surprising .",38,True
99,"as his circle of friends keeps getting smaller one of the characters in long time dead says 'i'm telling you , this is f * * * ed' . maybe he was reading the minds of the audience .","as his circle of friends keeps getting smaller one of the characters in long time dead says 'i'm telling you , this is f * * * ed' . perchance he was reading the minds of the audience .","as his circle of friends keeps getting smaller one of the characters in long time dead says 'i'm telling you , this is f * * * ed' . perchance he was reading the minds of the audience .",501,True
100,"a relatively effective little potboiler until its absurd , contrived , overblown , and entirely implausible finale .","a relatively effective little potboiler until its absurd , contrived , overblown , and entirely compelling finale .","a relatively effective little potboiler until its absurd , contrived , overblown , and entirely compelling finale .",63,True
101,"a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .","a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .","a journey spanning nearly three decades of bittersweet camaraderie and history , in which we feel that we truly know what makes holly and marina tick , and our hearts go out to them as both continue to negotiate their imperfect , love-hate relationship .",1079,True
102,bears is even worse than i imagined a movie ever could be .,bears is even better than i imagined a movie ever could be .,bears is even better than i imagined a movie ever could be .,396,True
103,lurid and less than lucid work .,lurid and closer than lucid work .,lurid and closer than lucid work .,83,True
104,"it was filled with shootings , beatings , and more cussing than you could shake a stick at .",---,---,0,False
105,earnest yet curiously tepid and choppy recycling in which predictability is the only winner .,---,---,0,False
106,a soul-stirring documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,a crumples documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,a crumples documentary about the israeli/palestinian conflict as revealed through the eyes of some children who remain curious about each other against all odds .,182,True
107,"i walked away not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i didn't care .","i walked away not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i has care .","i walked away not really know who "" they "" were , what "" they "" looked like . why "" they "" were here and what "" they "" wanted and quite honestly , i has care .",155,True
108,many insightful moments .,many insightful mishaps .,many insightful mishaps .,60,True
109,". . . feels as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",". . . feels as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he pleases you to feel something .",". . . feels as if ( there's ) a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he pleases you to feel something .",6,True
110,"literary purists may not be pleased , but as far as mainstream matinee-style entertainment goes , it does a bang-up job of pleasing the crowds .","literary purists may not be pleased , but as far as mainstream matinee-style entertainment goes , it does a aill job of pleasing the crowds .","literary purists may not be pleased , but as far as mainstream matinee-style entertainment goes , it does a aill job of pleasing the crowds .",249,True
111,"did we really need a remake of "" charade ? ""","did we really appreciated a remake of "" charade ? ""","did we really appreciated a remake of "" charade ? """,265,True
112,"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm .","neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film hasnt a lot of charm .","neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film hasnt a lot of charm .",309,True
113,"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .","a big-budget/all-star movie as unblinkingly pure as the hours is a distinct scarcer , and an event .","a big-budget/all-star movie as unblinkingly pure as the hours is a distinct scarcer , and an event .",63,True
114,"the main characters are simply named the husband , the wife and the kidnapper , emphasizing the disappointingly generic nature of the entire effort .","the main characters are simply named the husband , the wife and the kidnapper , emphasizing the supremely generic nature of the entire effort .","the main characters are simply named the husband , the wife and the kidnapper , emphasizing the supremely generic nature of the entire effort .",455,True
115,the comedy makes social commentary more palatable .,the comedy makes social commentary anymore palatable .,the comedy makes social commentary anymore palatable .,4,True
116,"zhuangzhuang creates delicate balance of style , text , and subtext that's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",---,---,0,False
117,"'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and sappy dialogue .","'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and heartfelt dialogue .","'dragonfly' dwells on crossing-over mumbo jumbo , manipulative sentimentality , and heartfelt dialogue .",1,True
118,tells ( the story ) with such atmospheric ballast that shrugging off the plot's persnickety problems is simply a matter of ( being ) in a shrugging mood .,---,---,0,False
119,"it's nice to see piscopo again after all these years , and chaykin and headly are priceless .","it's cool to see piscopo again after all these years , and chaykin and headly are priceless .","it's cool to see piscopo again after all these years , and chaykin and headly are priceless .",3,True
