ID,Original Sentence,Generated Sentence,Substituted Sentence,Query Count,Attack Success
38,"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively tiresome .","as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively tiresome .",304,True
39,"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is warmly affecting and so is this adroitly diminishing movie .","escaping the studio , piccoli is warmly affecting and so is this adroitly diminishing movie .",280,True
40,"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .","there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",442,True
41,"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this dimmed documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath .","this dimmed documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath .",267,True
42,the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,the subtle strength of `` elling '' is that it never wins touch with the reality of the grim situation .,the subtle strength of `` elling '' is that it never wins touch with the reality of the grim situation .,345,True
43,holm ... embodies the character with an effortlessly regal charisma . ,holm ... embodies the character with an effortlessly miserables charisma .,holm ... embodies the character with an effortlessly miserables charisma .,64,True
44,"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only describes its main characters , but the lazy people behind the camera as honestly .","the title not only describes its main characters , but the lazy people behind the camera as honestly .",4,True
45,it offers little beyond the momentary joys of pretty and weightless intellectual entertainment . ,it offers peu beyond the momentary joys of pretty and weightless intellectual entertainment .,it offers peu beyond the momentary joys of pretty and weightless intellectual entertainment .,1,True
46,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness . ,a enriched of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,a enriched of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,29,True
47,a subtle and well-crafted ( for the most part ) chiller . ,a subtle and infirmities ( for the most part ) chiller .,a subtle and infirmities ( for the most part ) chiller .,68,True
48,has a lot of the virtues of eastwood at his best . ,has a lot of the virtues of eastwood at his worst .,has a lot of the virtues of eastwood at his worst .,13,True
49,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,it 's willfully by a lifetime-channel kind of plot and a lead actress who is out of her depth .,it 's willfully by a lifetime-channel kind of plot and a lead actress who is out of her depth .,386,True
50,"it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes . ","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about with exciting as gazing at an egg timer for 93 minutes .","it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about with exciting as gazing at an egg timer for 93 minutes .",759,True
51,"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama . ","for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily ransacking drama .","for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily ransacking drama .",339,True
52,"mr. tsai is a very original artist in his medium , and what time is it there ? ","mr. tsai is a hardly original artist in his medium , and what time is it there ?","mr. tsai is a hardly original artist in his medium , and what time is it there ?",121,True
53,sade is an engaging look at the controversial eponymous and fiercely atheistic hero . ,sade doesnt an engaging look at the controversial eponymous and fiercely atheistic hero .,sade doesnt an engaging look at the controversial eponymous and fiercely atheistic hero .,144,True
54,so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises ,so unpretentious of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises,so unpretentious of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises,549,True
55,"a tender , heartfelt family drama . ","a dulls , heartfelt family drama .","a dulls , heartfelt family drama .",90,True
56,... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it . ,... a riveted joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,... a riveted joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .,443,True
57,the cold turkey would 've been a far better title . ,the cold turkey would 've been a far finest title .,the cold turkey would 've been a far finest title .,301,True
58,manages to be both repulsively sadistic and mundane . ,manages to be both repulsively sadistic and prosaic .,manages to be both repulsively sadistic and prosaic .,3,True
59,"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface . ","it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does harder than scratch the surface .","it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does harder than scratch the surface .",28,True
60,"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent . ","this is a story of two misfits who do n't stand a chance alone , but together they are beatiful .","this is a story of two misfits who do n't stand a chance alone , but together they are beatiful .",317,True
61,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","schaeffer has to find some hook on which to hang his persistently fearlessly movies , and it might as well be the resuscitation of the middle-aged character .","schaeffer has to find some hook on which to hang his persistently fearlessly movies , and it might as well be the resuscitation of the middle-aged character .",133,True
62,the primitive force of this film seems to bubble up from the vast collective memory of the combatants . ,the primitive force of this film seems to bubble up from the vast misspent memory of the combatants .,the primitive force of this film seems to bubble up from the vast misspent memory of the combatants .,88,True
63,"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion . ","on this tricky topic , tadpole doesnt very much a step in the right direction , with its blend of frankness , civility and compassion .","on this tricky topic , tadpole doesnt very much a step in the right direction , with its blend of frankness , civility and compassion .",536,True
64,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ",---,---,0,False
65,you wonder why enough was n't just a music video rather than a full-length movie . ,you wonder why enough was n't just a music video rather than a full-length movie .,you wonder why enough was n't just a music video rather than a full-length movie .,492,True
66,"if you 're hard up for raunchy college humor , this is your ticket right here . ","if you 're hard up for raunchy enlisting humor , this is your ticket right here .","if you 're hard up for raunchy enlisting humor , this is your ticket right here .",48,True
67,"a fast , funny , highly enjoyable movie . ","a fast , funny , highly enjoyable movie .","a fast , funny , highly enjoyable movie .",245,True
68,good old-fashioned slash-and-hack is back ! ,good archaic slash-and-hack is back !,good archaic slash-and-hack is back !,51,True
69,"this one is definitely one to skip , even for horror movie fanatics . ","this one is definitely one to skip , even for horror movie onlookers .","this one is definitely one to skip , even for horror movie onlookers .",49,True
70,"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou jamais really builds up a head of emotional steam .","for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou jamais really builds up a head of emotional steam .",198,True
71,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ","exquisitely nuanced in mood tics and dialogue , this chamber drama is maltreated acted by the deeply appealing veteran bouquet and the chilling but quite human berling .","exquisitely nuanced in mood tics and dialogue , this chamber drama is maltreated acted by the deeply appealing veteran bouquet and the chilling but quite human berling .",613,True
72,uses high comedy to evoke surprising poignance . ,uses high comedy to evoke disappointing poignance .,uses high comedy to evoke disappointing poignance .,25,True
73,"one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others . ","one of creepiest , scariest movies to come along in a long , long time , facile rivaling blair witch or the others .","one of creepiest , scariest movies to come along in a long , long time , facile rivaling blair witch or the others .",2,True
74,a string of rehashed sight gags based in insipid vulgarity . ,a string of rehashed sight gags based in insipid vulgarity .,a string of rehashed sight gags based in insipid vulgarity .,344,True
75,among the year 's most intriguing explorations of alientation . ,among the year 's least intriguing explorations of alientation .,among the year 's least intriguing explorations of alientation .,130,True
76,the movie fails to live up to the sum of its parts . ,the movie defies to live up to the sum of its parts .,the movie defies to live up to the sum of its parts .,221,True
77,the son 's room is a triumph of gentility that earns its moments of pathos . ,the son 's room is a defeat of gentility that earns its moments of pathos .,the son 's room is a defeat of gentility that earns its moments of pathos .,56,True
78,"there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine . ","there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .","there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .",784,True
79,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs . ,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,1000,True
80,the draw ( for `` big bad love '' ) is a solid performance by arliss howard . ,the draw ( for `` big bad love '' ) wasnt a solid performance by arliss howard .,the draw ( for `` big bad love '' ) wasnt a solid performance by arliss howard .,220,True
81,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ","green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .","green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .",588,True
82,it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions . ,it 's one wildman world when even killer-thrillers revolve around group therapy sessions .,it 's one wildman world when even killer-thrillers revolve around group therapy sessions .,50,True
83,"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ","though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who seen working-class .","though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who seen working-class .",14,True
84,"the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) . ","the band 's courage in the face of official repression is platitudes , especially for aging hippies ( this one included ) .","the band 's courage in the face of official repression is platitudes , especially for aging hippies ( this one included ) .",165,True
85,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them . ,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them .,the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them .,539,True
86,"the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle . ","the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .","the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .",588,True
87,jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,---,---,0,False
88,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away . ,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,689,True
89,"we know the plot 's a little crazy , but it held my interest from start to finish . ","we know the plot 's a little crazy , but it detained my interest from start to finish .","we know the plot 's a little crazy , but it detained my interest from start to finish .",56,True
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ","it 's a scattershot affair , but when it hits its mark it 's kudos .","it 's a scattershot affair , but when it hits its mark it 's kudos .",108,True
91,"hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people . ","hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .","hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .",490,True
92,"you wo n't like roger , but you will quickly recognize him . ",---,---,0,False
93,if steven soderbergh 's ` solaris ' is a failure it is a glorious failure . ,---,---,0,False
94,"byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama . ","byler reveals his characters in a way that intrigues and even fascinates us , and he never enhances the situation to simple melodrama .","byler reveals his characters in a way that intrigues and even fascinates us , and he never enhances the situation to simple melodrama .",319,True
95,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,---,---,0,False
96,"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role . ","it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a invaluable role .","it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a invaluable role .",71,True
97,"no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand . ","no sophomore slump for director sam mendes , who segues from oscar winner to lackin potential with a smooth sleight of hand .","no sophomore slump for director sam mendes , who segues from oscar winner to lackin potential with a smooth sleight of hand .",127,True
98,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","on the whole , the movie manque wit , feeling and believability to compensate for its incessant coarseness and banality .","on the whole , the movie manque wit , feeling and believability to compensate for its incessant coarseness and banality .",151,True
99,why make a documentary about these marginal historical figures ? ,why make a documentary about these marginal historical figures ?,why make a documentary about these marginal historical figures ?,245,True
100,"neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula . ","neither parker nor donovan is a typical romantic lead , but they expect a fresh , quirky charm to the formula .","neither parker nor donovan is a typical romantic lead , but they expect a fresh , quirky charm to the formula .",429,True
101,"his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it . ","his last movie was poetically romantic and full of indelible images , but his latest has nothing passe for it .","his last movie was poetically romantic and full of indelible images , but his latest has nothing passe for it .",409,True
102,"does paint some memorable images ... , but makhmalbaf keeps her distance from the characters ","does paint some memorable images ... , but disintegrating keeps her distance from the characters","does paint some memorable images ... , but disintegrating keeps her distance from the characters",99,True
103,"a gripping movie , played with performances that are all understated and touching . ","a gripping movie , played with performances that are all understated and touching .","a gripping movie , played with performances that are all understated and touching .",343,True
104,"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible . ","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids arent as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids arent as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .",58,True
105,"combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video . ","combining quick-cut creating and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video .","combining quick-cut creating and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video .",36,True
106,the movie 's relatively simple plot and uncomplicated morality play well with the affable cast . ,the movie 's relatively simple plot and uncomplicated morality play well with the affable molding .,the movie 's relatively simple plot and uncomplicated morality play well with the affable molding .,48,True
107,what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about . ,---,---,0,False
108,"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance . ","too often , the viewer is n't overreaction to humor so much as they are wincing back in repugnance .","too often , the viewer is n't overreaction to humor so much as they are wincing back in repugnance .",300,True
109,it 's great escapist fun that recreates a place and time that will never happen again . ,it 's great failings fun that recreates a place and time that will never happen again .,it 's great failings fun that recreates a place and time that will never happen again .,430,True
110,"scores no points for originality , wit , or intelligence . ","scores no issues for originality , wit , or intelligence .","scores no issues for originality , wit , or intelligence .",214,True
111,"there is n't nearly enough fun here , despite the presence of some appealing ingredients . ","there is nt nearly enough fun here , despite the presence of some appealing ingredients .","there is nt nearly enough fun here , despite the presence of some appealing ingredients .",99,True
112,hilariously inept and ridiculous . ,hilariously inept and ridicules .,hilariously inept and ridicules .,2,True
113,this movie is maddening . ,this movie is jarring .,this movie is jarring .,71,True
114,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it haunts you , you ca n't forget it , you admire its conception and not able to resolve some of the confusions you had while watching it .","it haunts you , you ca n't forget it , you admire its conception and not able to resolve some of the confusions you had while watching it .",97,True
115,sam mendes has become valedictorian at the school for soft landings and easy ways out . ,---,---,0,False
116,one of the smartest takes on singles culture i 've seen in a long time . ,one of the outsmart takes on singles culture i 've seen in a long time .,one of the outsmart takes on singles culture i 've seen in a long time .,13,True
117,"moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not . ","moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .","moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .",736,True
118,every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable . ,---,---,0,False
119,comes ... uncomfortably close to coasting in the treads of the bicycle thief . ,comes ... supremely close to coasting in the treads of the bicycle thief .,comes ... supremely close to coasting in the treads of the bicycle thief .,104,True
120,"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality . ","warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .","warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .",784,True
121,it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,---,---,0,False
122,old-form moviemaking at its best . ,old-form preproduction at its best .,old-form preproduction at its best .,3,True
123,turns potentially forgettable formula into something strangely diverting . ,---,---,0,False
124,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the loony talent that brought him fame in the first place .","( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the loony talent that brought him fame in the first place .",65,True
125,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair . ,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .,a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .,589,True
126,confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,approves the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .,approves the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .,59,True
127,"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ","in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .","in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .",833,True
128,montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters . ,montias ... tires a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,montias ... tires a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,291,True
129,"it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot . ","it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .","it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .",539,True
130,suffers from the lack of a compelling or comprehensible narrative . ,enjoyin from the lack of a compelling or comprehensible narrative .,enjoyin from the lack of a compelling or comprehensible narrative .,57,True
131,"in execution , this clever idea is far less funny than the original , killers from space . ","in execution , this clever idea is far less fool than the original , killers from space .","in execution , this clever idea is far less fool than the original , killers from space .",93,True
132,scooby dooby doo / and shaggy too / you both look and sound great . ,scooby dooby doo / and shaggy too / you both look and sound great .,scooby dooby doo / and shaggy too / you both look and sound great .,492,True
